,Dataset,Station,Lat,Long,Elev,HFI,Forest,NPP,d.Road,d.River,EdgeDens,PatchDens,DisjCore
76,North,SAVEGRE VALLEY CATAR15,9.539,-83.8181,2106,6,90.56853282,63,7270.336739,104.0951933,10.36,1.93,0.97
77,North,SAVEGRE VALLEY CATAR32,9.5392,-83.8181,2113,6,90.27702703,63,7255.226537,97.22449803,10.65,1.99,0.99
78,North,SAVEGRE VALLEY CHANCHOS28,9.6019,-83.8212,3038,10,89.87705712,93,1573.699522,3692.48623,4.37,0.99,0.99
79,North,SAVEGRE VALLEY CHANCHOS29,9.5904,-83.8171,3112,6,89.88792271,63,2815.306244,3181.538483,6.64,0.97,0.97
80,North,SAVEGRE VALLEY CHANCHOS30,9.5781,-83.8145,3056,5,89.51160542,63,3822.528138,2020.643989,22.46,1.02,1.02
81,North,SAVEGRE VALLEY CHANCHOS31,9.5807,-83.817,3042,5,89.46518375,63,3801.271609,2418.070615,21.9,1.02,1.02
82,North,SAVEGRE VALLEY CHANCHOS33,9.5996,-83.8197,3074,10,89.94869313,63,1806.588116,3652.062139,4.49,1.02,1.02
83,North,SAVEGRE VALLEY DANTA4,9.5538,-83.8075,2244,5,69.52804642,63,5316.747546,145.9790344,70.45,4.08,3.06
84,North,SAVEGRE VALLEY DANTICA14,9.5847,-83.8011,2530,7,85.23648649,63,2382.645807,1639.078883,34.93,0.99,0.99
85,North,SAVEGRE VALLEY DANTICA15,9.5858,-83.7933,2633,7,88.83462282,64,1968.18734,1678.586578,35.64,1.02,1.02
