Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU36C,No,5.3792495,101.445761,771043,595129,,9/11/09,9/23/09,9/23/09,5:50
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU37A,No,5.3885556,101.4655582,773234,596167,,10/21/09,2/16/10,1/1/10,21:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU37A,No,5.3885556,101.4655582,773234,596167,,10/21/09,2/16/10,1/19/10,7:20
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU37A,No,5.3885556,101.4655582,773234,596167,,10/21/09,2/16/10,1/19/10,20:09
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Old logging road,PU40C,No,5.3678756,101.4334159,769679,593865,,1/20/10,4/8/10,2/24/10,20:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU42A,No,5.3733131,101.4696432,773694,594483,,9/14/09,1/21/10,10/5/09,21:49
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU45D,No,5.3458513,101.4582315,772440,591439,,9/6/09,1/13/10,10/21/09,6:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU45D,No,5.3458513,101.4582315,772440,591439,,9/6/09,1/13/10,11/29/09,6:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU46A,No,5.35184,101.4677697,773496,592106,,9/14/09,12/2/09,10/6/09,4:14
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU46C,No,5.3478179,101.467006,773413,591661,,1/21/10,4/7/10,3/13/10,3:36
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU46C,No,5.3478179,101.467006,773413,591661,,1/21/10,4/7/10,3/13/10,5:55
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU48D,No,5.3283087,101.4385977,770271,589490,,9/4/09,1/12/10,9/15/09,2:02
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53D,No,5.314201,101.4551586,772114,587936,,1/11/10,3/29/10,1/27/10,22:32
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU53D,No,5.314201,101.4551586,772114,587936,,1/11/10,3/29/10,2/28/10,3:06
