"species","lat","lon","hour","date","datetime"
"Tapirus indicus",5.380224,101.4199801,"7:51",10-03-25,2010-03-25 07:51:00
"Tapirus indicus",5.4252929,101.5427486,"19:10",10-03-25,2010-03-25 19:10:00
"Tapirus indicus",5.2745127,101.484031,"22:56",10-03-25,2010-03-25 22:56:00
"Tapirus indicus",5.375313,101.4193724,"6:45",10-03-29,2010-03-29 06:45:00
"Tapirus indicus",5.4558748,101.5112786,"23:07",10-03-29,2010-03-29 23:07:00
"Tapirus indicus",5.2363296,101.4974904,"18:40",10-03-31,2010-03-31 18:40:00
"Tapirus indicus",5.4017688,101.4752017,"20:22",10-04-03,2010-04-03 20:22:00
"Tapirus indicus",5.4252929,101.5427486,"3:58",10-04-04,2010-04-04 03:58:00
"Tapirus indicus",5.4821221,101.4962292,"18:17",10-04-08,2010-04-08 18:17:00
"Tapirus indicus",5.2976302,101.4191332,"21:53",10-04-10,2010-04-10 21:53:00
"Tapirus indicus",5.465888,101.5416471,"22:17",10-04-10,2010-04-10 22:17:00
"Tapirus indicus",5.2925818,101.4993067,"8:16",10-04-11,2010-04-11 08:16:00
"Tapirus indicus",5.3223476,101.4066982,"4:26",10-04-12,2010-04-12 04:26:00
"Tapirus indicus",5.4215936,101.5248222,"20:04",10-04-13,2010-04-13 20:04:00
"Tapirus indicus",5.465888,101.5416471,"21:16",10-04-13,2010-04-13 21:16:00
"Tapirus indicus",5.465888,101.5416471,"7:03",10-04-14,2010-04-14 07:03:00
"Tapirus indicus",5.4086327,101.4378644,"3:15",10-04-15,2010-04-15 03:15:00
"Tapirus indicus",5.3223476,101.4066982,"6:46",10-04-15,2010-04-15 06:46:00
"Tapirus indicus",5.4821221,101.4962292,"19:12",10-04-16,2010-04-16 19:12:00
"Tapirus indicus",5.4558748,101.5112786,"3:43",10-04-22,2010-04-22 03:43:00
"Tapirus indicus",5.4248369,101.5645706,"5:24",10-04-22,2010-04-22 05:24:00
"Tapirus indicus",5.4017688,101.4752017,"6:06",10-04-23,2010-04-23 06:06:00
"Tapirus indicus",5.4086327,101.4378644,"21:36",10-04-24,2010-04-24 21:36:00
"Tapirus indicus",5.4558748,101.5112786,"21:49",10-04-24,2010-04-24 21:49:00
"Tapirus indicus",5.4558748,101.5112786,"2:05",10-04-25,2010-04-25 02:05:00
"Tapirus indicus",5.4826549,101.5513501,"4:59",10-04-30,2010-04-30 04:59:00
"Tapirus indicus",5.4826549,101.5513501,"16:41",10-05-03,2010-05-03 16:41:00
"Tapirus indicus",5.4821221,101.4962292,"21:04",10-05-03,2010-05-03 21:04:00
"Tapirus indicus",5.4821221,101.4962292,"6:35",10-05-07,2010-05-07 06:35:00
"Tapirus indicus",5.4821221,101.4962292,"9:22",10-05-07,2010-05-07 09:22:00
"Tapirus indicus",5.4821221,101.4962292,"19:57",10-05-07,2010-05-07 19:57:00
"Tapirus indicus",5.4821221,101.4962292,"7:34",10-05-08,2010-05-08 07:34:00
"Tapirus indicus",5.3223476,101.4066982,"4:24",10-05-10,2010-05-10 04:24:00
"Tapirus indicus",5.4652264,101.5291782,"20:33",10-05-10,2010-05-10 20:33:00
"Tapirus indicus",5.2976302,101.4191332,"21:26",10-05-10,2010-05-10 21:26:00
"Tapirus indicus",5.3949944,101.4227074,"21:03",10-05-11,2010-05-11 21:03:00
"Tapirus indicus",5.4699782,101.4663839,"14:47",10-05-12,2010-05-12 14:47:00
"Tapirus indicus",5.2334133,101.4522898,"4:14",10-05-13,2010-05-13 04:14:00
"Tapirus indicus",5.2990099,101.4026353,"0:18",10-05-14,2010-05-14 00:18:00
"Tapirus indicus",5.3223476,101.4066982,"23:50",10-05-16,2010-05-16 23:50:00
"Tapirus indicus",5.6815734,101.6041874,"1:32",10-08-20,2010-08-20 01:32:00
"Tapirus indicus",5.6815734,101.6041874,"21:02",10-08-20,2010-08-20 21:02:00
"Tapirus indicus",5.71391053,101.6134423,"2:21",10-08-22,2010-08-22 02:21:00
"Tapirus indicus",5.72713432,101.4576553,"4:53",10-08-22,2010-08-22 04:53:00
"Tapirus indicus",5.74399402,101.5159516,"1:42",10-08-23,2010-08-23 01:42:00
"Tapirus indicus",5.72713432,101.4576553,"2:23",10-08-25,2010-08-25 02:23:00
"Tapirus indicus",5.69999054,101.5470401,"4:16",10-08-25,2010-08-25 04:16:00
"Tapirus indicus",5.79226959,101.5613554,"0:36",10-08-27,2010-08-27 00:36:00
"Tapirus indicus",5.72713432,101.4576553,"0:40",10-08-30,2010-08-30 00:40:00
"Tapirus indicus",5.75738813,101.4317233,"7:33",10-08-30,2010-08-30 07:33:00
"Tapirus indicus",5.77990352,101.466649,"21:20",10-09-02,2010-09-02 21:20:00
"Tapirus indicus",5.72713432,101.4576553,"22:56",10-09-04,2010-09-04 22:56:00
"Tapirus indicus",5.69999054,101.5470401,"6:15",10-09-05,2010-09-05 06:15:00
"Tapirus indicus",5.7493208,101.4826977,"2:46",10-09-13,2010-09-13 02:46:00
"Tapirus indicus",5.77990352,101.466649,"22:11",10-09-13,2010-09-13 22:11:00
"Tapirus indicus",5.72713432,101.4576553,"0:05",10-09-15,2010-09-15 00:05:00
"Tapirus indicus",5.77990352,101.466649,"5:32",10-09-16,2010-09-16 05:32:00
"Tapirus indicus",5.78509954,101.5051743,"3:39",10-09-18,2010-09-18 03:39:00
"Tapirus indicus",5.79226959,101.5613554,"6:46",10-09-22,2010-09-22 06:46:00
"Tapirus indicus",5.74399402,101.5159516,"23:22",10-09-23,2010-09-23 23:22:00
"Tapirus indicus",5.71391053,101.6134423,"1:56",10-09-28,2010-09-28 01:56:00
"Tapirus indicus",5.71391053,101.6134423,"18:49",10-09-28,2010-09-28 18:49:00
"Tapirus indicus",5.80095274,101.548128,"23:49",10-09-29,2010-09-29 23:49:00
"Tapirus indicus",5.80038151,101.4928892,"21:31",10-09-30,2010-09-30 21:31:00
"Tapirus indicus",5.6815734,101.6041874,"18:44",10-10-02,2010-10-02 18:44:00
"Tapirus indicus",5.6815734,101.6041874,"19:45",10-10-04,2010-10-04 19:45:00
"Tapirus indicus",5.76835325,101.5574178,"21:51",10-10-04,2010-10-04 21:51:00
"Tapirus indicus",5.6815734,101.6041874,"22:01",10-10-04,2010-10-04 22:01:00
"Tapirus indicus",5.80801089,101.5979368,"9:36",10-10-06,2010-10-06 09:36:00
"Tapirus indicus",5.75242764,101.5441191,"20:23",10-10-07,2010-10-07 20:23:00
"Tapirus indicus",5.75984923,101.5169345,"5:44",10-10-08,2010-10-08 05:44:00
"Tapirus indicus",5.80801089,101.5979368,"1:05",10-10-10,2010-10-10 01:05:00
"Tapirus indicus",5.80177869,101.575676,"17:21",10-10-10,2010-10-10 17:21:00
"Tapirus indicus",5.75738813,101.4317233,"22:32",10-10-10,2010-10-10 22:32:00
"Tapirus indicus",5.80095274,101.548128,"21:00",10-10-11,2010-10-11 21:00:00
"Tapirus indicus",5.80038151,101.4928892,"20:01",10-10-12,2010-10-12 20:01:00
"Tapirus indicus",5.80095274,101.548128,"20:14",10-10-12,2010-10-12 20:14:00
"Tapirus indicus",5.79327701,101.5928502,"21:34",10-10-12,2010-10-12 21:34:00
"Tapirus indicus",5.80095274,101.548128,"22:42",10-10-12,2010-10-12 22:42:00
